model,hidden,states,gate_hidden,use_skip,seeds,accuracy_mean,final_loss_mean,train_time_mean_sec,inference_time_mean_sec,flops_per_sample,params,accuracy_per_mflop_mean,final_l1_entropy_mean,final_l2_entropy_mean
dense,64,0,0,False,1,0.9371,0.21335493509625655,12.283514200011268,0.08511530002579093,109824,55050,8.532743298368299,,
dense,128,0,0,False,1,0.938,0.1961196601097012,16.897920699964743,0.08450590004213154,236032,118282,3.9740374186550973,,
v4_economic,64,2,6,False,1,0.9255,0.23941677557538127,30.589512799982913,0.1674982999684289,120048,114578,7.709416233506597,0.993286125071764,0.23397749769823148
v4_economic,64,2,8,False,1,0.9331,0.22514297008728917,29.099782400007825,0.15831600001547486,123456,116286,7.558158372213582,,
v4_economic,64,2,8,True,1,0.9349,0.19308541046345493,40.04045530001167,0.24279899999964982,232000,170686,4.0297413793103445,,
v4_economic,64,2,16,False,1,0.9265,0.24584354880136902,33.22820990002947,0.17180429998552427,137088,123118,6.75843253968254,,
v4_economic,64,2,16,True,1,0.9355,0.19558521615880997,42.85743380000349,0.2703227000311017,245632,177518,3.808542860865034,,
v4_economic,64,4,8,False,1,0.9322,0.22938786309875953,53.77830190001987,0.17823600000701845,123520,225122,7.546955958549223,,
v4_economic,64,4,8,True,1,0.9302,0.21387742840387283,63.7635244000121,0.2771315000136383,232064,279522,4.008376999448428,,
v4_economic,64,4,16,False,1,0.9205,0.2692823076370883,53.93493300001137,0.204628000035882,137216,231986,6.70840135261194,,
v4_economic,64,4,16,True,1,0.9272,0.20780389721345838,65.72800449997885,0.285473300027661,245760,286386,3.7727864583333335,,
v4_economic,96,2,4,False,1,0.9307,0.22497992287172106,32.42734870000277,0.2176088000414893,177952,173862,5.230062039201583,,
v4_economic,96,2,6,False,1,0.9315,0.22841126183268184,34.62792790000094,0.20686999999452382,181488,175634,5.132570748479238,0.9452263718000546,0.02946405184492225
v4_economic,96,2,8,False,1,0.9359,0.21525721397348657,33.562088900012895,0.18335549999028444,185024,177406,5.058262711864407,,
v4_economic,112,2,4,False,1,0.9296,0.21910716836579702,35.71059599996079,0.24300610000500455,210144,205894,4.42363331810568,,
v4_economic,112,2,6,False,1,0.9307,0.22750291851433085,38.55672659998527,0.2296906000119634,213744,207698,4.354274272026349,0.9990440322208294,0.10993799351977508
v4_economic,112,2,8,False,1,0.9308,0.2303724665475822,36.30448900000192,0.1953683000174351,217344,209502,4.282611896348645,,
v4_economic,128,2,6,False,1,0.9302,0.23466286640368406,41.319062200025655,0.2572757000452839,247024,240786,3.7656260120474125,0.9010891843657631,0.7364834525537625
v4_economic,128,2,8,False,1,0.9392,0.20157201980262301,41.933771100011654,0.2222932000295259,250688,242622,3.7464896604544293,,
v4_economic,128,2,8,True,1,0.9378,0.18249316512812586,56.38763439998729,0.3806738000130281,484160,359614,1.9369629874421679,,
v4_economic,128,2,16,False,1,0.9312,0.21930028168457139,43.006835100008175,0.22716710000531748,265344,249966,3.509406657018813,,
v4_economic,128,2,16,True,1,0.9387,0.1703051052652472,56.55120539997006,0.3688434999785386,498816,366958,1.88185623556582,,
v4_economic,128,4,8,False,1,0.9291,0.24247015338316738,73.37680690002162,0.23690960003295913,250752,476642,3.705254594180705,,
v4_economic,128,4,8,True,1,0.93,0.20034664133959562,87.45286850002594,0.3900178999756463,484224,593634,1.9205987311657415,,
v4_economic,128,4,16,False,1,0.9282,0.2394162648856816,73.58376010000939,0.2715372999664396,265472,484018,3.4964139344262297,,
v4_economic,128,4,16,True,1,0.9337,0.18662335776865335,87.63296780001838,0.436853900027927,498944,601010,1.871352296049256,,
